Timestamp,UTC,Latitude,Longitude,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Magneto X,Magneto Y,Magneto Z,x,y,z,w_x,w_y,w_z,Accel_corr_X,Accel_corr_Y,Accel_corr_Z,x_kf,y_kf,z_kf,vx_kf,vy_kf,vz_kf
1746545057.5243213,2025/05/06 - 15:24:17,49.38559116666666,1.0686958333333334,0.866688,0.079544,-0.197152,7.77,5.95,4.41,-0.4903565166569257,-0.3319696084161309,0.026884862653419,4146577.487432341,77352.01616738692,4836274.682678201,19.600870727797485,-116.66463608942688,-144.5376007001845,0.07912215739531155,-0.7934361634514892,0.4006781590260359,4146576.401657518,77350.54466311126,4836274.745392307,-0.4540269707075065,-1.83135492721913,0.5180053300023495
1746545058.6258242,2025/05/06 - 15:24:18,49.385596,1.0686825,0.6871039999999999,0.004392,-0.217648,20.020000000000003,3.3600000000000003,8.05,-0.4178842781998831,-0.3927527761542957,0.0385739333722969,4146577.0975273787,77351.04360583988,4836275.032534285,39.62087072779749,-113.30463608942688,-136.4876007001845,0.685511850222951,-0.220417865646949,-0.0314851725666182,4146576.830206439,77348.95749835347,4836275.358359609,0.2869618855822325,-1.618843753673188,0.41890176047696515
1746545059.6155846,2025/05/06 - 15:24:19,49.38560133333333,1.0686681666666666,1.017968,-0.038064,-0.0229359999999999,-9.170000000000002,10.99,0.07,-0.461718293395675,-0.3559322033898305,-0.0274693161893629,4146576.6667750496,77349.99788591907,4836275.418582338,30.450870727797486,-102.31463608942688,-136.4176007001845,-0.8573867822854491,-0.5473300874598279,-0.05959411161701285,4146576.4119602307,77347.62999923546,4836275.738161199,-0.5175432808575618,-1.674767279613537,0.2929855777364662
1746545060.549118,2025/05/06 - 15:24:20,49.385608,1.0686516666666666,1.294664,0.1063839999999999,-0.284504,11.2,-21.56,-12.88,-0.4956165984804208,-0.3050847457627119,-0.0742255990648743,4146576.1264217296,77348.79326248562,4836275.901142346,41.65087072779748,-123.87463608942689,-149.2976007001845,-0.8496323415068366,-1.0216207263473183,0.053206485800023774,4146575.1865259563,77345.98600225266,4836276.134630562,-1.17211943435039,-2.1137984302377197,0.29773634894755174
1746545061.4804182,2025/05/06 - 15:24:21,49.385613,1.0686378333333333,0.5651039999999999,-0.012688,-0.162504,-5.32,11.27,14.28,-0.4915254237288136,-0.3389830508474576,-0.0263004091174751,4146575.7231251854,77347.78425349473,4836276.263062308,36.33087072779748,-112.60463608942689,-135.0176007001845,-0.3730868163032092,-0.45206606814005823,-0.048513541543816256,4146574.125453688,77344.67110017888,4836276.446152196,-1.2136421339260208,-1.9197930554282887,0.21122623710991695
1746545062.523699,2025/05/06 - 15:24:22,49.38561933333333,1.0686251666666666,0.926224,-0.084912,0.01952,-6.300000000000001,-8.260000000000002,-22.89,-0.4938632378725891,-0.320280537697253,0.0116890707188778,4146575.205727722,77346.85757902994,4836276.721494206,30.03087072779748,-120.8646360894269,-157.9076007001845,0.9289243421049458,-0.05040711620234044,-0.0063769586055704534,4146574.2239567274,77344.02410627739,4836276.785366839,-0.08097125618126888,-1.3821707223664101,0.1915938171105532
1746545063.5102422,2025/05/06 - 15:24:23,49.385626,1.0686113333333334,1.382504,-0.020496,-0.050752,-24.290000000000003,14.840000000000002,17.71,-0.4897720631209818,-0.3179427235534775,-0.043249561659848,4146574.6617735033,77345.84594678484,4836277.204054037,5.740870727797478,-106.02463608942689,-140.1976007001845,1.380793554186224,-0.08787664148521582,0.0001346664551197807,4146575.3450710126,77343.65502145537,4836277.18766269,1.1580178434327257,-1.015365520269678,0.19513017319076192
1746545064.4981012,2025/05/06 - 15:24:24,49.385630166666665,1.0685965,0.938424,0.00488,-0.2420479999999999,-13.650000000000002,4.760000000000001,3.2900000000000005,-0.4839275277615429,-0.3050847457627119,0.0204558737580362,4146574.3301546224,77344.76587888603,4836277.505653897,-7.909129272202524,-101.26463608942689,-136.9076007001845,0.525120175616553,0.5374460329682247,-0.6120875879211718,4146576.2427493273,77343.68136576343,4836277.11285563,1.2862180168725934,-0.25285091954382494,-0.33544014984291465
1746545065.48098,2025/05/06 - 15:24:25,49.385634333333336,1.0685823333333333,0.646112,0.040504,-0.099552,53.13,6.23,8.75,-0.4623027469316189,-0.3617767387492694,-0.0087668030391583,4146573.9976355033,77343.73405874301,4836277.807253732,45.220870727797475,-95.03463608942688,-128.1576007001845,-0.4493159691876213,0.026685653677794574,-0.47583077557549536,4146575.921813405,77343.49334176909,4836276.841804272,0.4375781894442314,-0.1762093700594003,-0.610911590943561
1746545066.4691987,2025/05/06 - 15:24:26,49.38563916666666,1.068569833333333,1.072136,0.251808,0.048312,19.6,-20.3,-15.330000000000002,-0.4652250146113384,-0.36937463471654,-0.0286382232612507,4146573.6066034315,77342.82180827967,4836278.157109508,64.82087072779748,-115.33463608942688,-143.48760070018452,0.9340963528128625,0.5336600302771394,-0.24059903667785343,4146575.738791662,77343.34172606432,4836276.811334847,0.9291823849741521,0.24955233357929038,-0.5722225588202923
